2023-10-03 14:29:29 status unpacked libsemanage1:arm64 3.1-1+b2
2023-10-03 14:29:29 install libsepol1:arm64 <none> 3.1-1
2023-10-03 14:29:29 status half-installed libsepol1:arm64 3.1-1
2023-10-03 14:29:29 status unpacked libsepol1:arm64 3.1-1
2023-10-03 14:29:29 install libtasn1-6:arm64 <none> 4.16.0-2+deb11u1
2023-10-03 14:29:29 status half-installed libtasn1-6:arm64 4.16.0-2+deb11u1
2023-10-03 14:29:29 status unpacked libtasn1-6:arm64 4.16.0-2+deb11u1
2023-10-03 14:29:29 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2023-10-03 14:29:29 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2023-10-03 14:29:29 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2023-10-03 14:29:29 install libtirpc3:arm64 <none> 1.3.1-1+deb11u1
2023-10-03 14:29:29 status half-installed libtirpc3:arm64 1.3.1-1+deb11u1
2023-10-03 14:29:29 status unpacked libtirpc3:arm64 1.3.1-1+deb11u1
2023-10-03 14:29:29 install libunistring2:arm64 <none> 0.9.10-4
2023-10-03 14:29:29 status half-installed libunistring2:arm64 0.9.10-4
2023-10-03 14:29:29 status unpacked libunistring2:arm64 0.9.10-4
2023-10-03 14:29:29 install libcrypt1:arm64 <none> 1:4.4.18-4
2023-10-03 14:29:29 status half-installed libcrypt1:arm64 1:4.4.18-4
2023-10-03 14:29:29 status unpacked libcrypt1:arm64 1:4.4.18-4
2023-10-03 14:29:29 install libzstd1:arm64 <none> 1.4.8+dfsg-2.1
2023-10-03 14:29:29 status half-installed libzstd1:arm64 1.4.8+dfsg-2.1
2023-10-03 14:29:29 status unpacked libzstd1:arm64 1.4.8+dfsg-2.1
2023-10-03 14:29:29 install lsb-base:all <none> 11.1.0
2023-10-03 14:29:29 status half-installed lsb-base:all 11.1.0
2023-10-03 14:29:29 status unpacked lsb-base:all 11.1.0
2023-10-03 14:29:29 install liblz4-1:arm64 <none> 1.9.3-2
2023-10-03 14:29:29 status half-installed liblz4-1:arm64 1.9.3-2
2023-10-03 14:29:29 status unpacked liblz4-1:arm64 1.9.3-2
2023-10-03 14:29:29 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2023-10-03 14:29:29 status half-configured mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:29 status unpacked mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:29 status half-installed mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:29 status unpacked mawk:arm64 1.3.4.20200120-2
2023-10-03 14:29:29 install libtinfo6:arm64 <none> 6.2+20201114-2+deb11u1
2023-10-03 14:29:29 status half-installed libtinfo6:arm64 6.2+20201114-2+deb11u1
2023-10-03 14:29:29 status unpacked libtinfo6:arm64 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 install ncurses-base:all <none> 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 status half-installed ncurses-base:all 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 status unpacked ncurses-base:all 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 install ncurses-bin:arm64 <none> 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 status half-installed ncurses-bin:arm64 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 status unpacked ncurses-bin:arm64 6.2+20201114-2+deb11u1
2023-10-03 14:29:30 install libhogweed6:arm64 <none> 3.7.3-1
2023-10-03 14:29:30 status half-installed libhogweed6:arm64 3.7.3-1
2023-10-03 14:29:30 status unpacked libhogweed6:arm64 3.7.3-1
2023-10-03 14:29:30 install libnettle8:arm64 <none> 3.7.3-1
2023-10-03 14:29:30 status half-installed libnettle8:arm64 3.7.3-1
2023-10-03 14:29:30 status unpacked libnettle8:arm64 3.7.3-1
2023-10-03 14:29:30 install libssl1.1:arm64 <none> 1.1.1n-0+deb11u4
2023-10-03 14:29:30 status half-installed libssl1.1:arm64 1.1.1n-0+deb11u4
2023-10-03 14:29:30 status unpacked libssl1.1:arm64 1.1.1n-0+deb11u4
2023-10-03 14:29:30 install libp11-kit0:arm64 <none> 0.23.22-1
2023-10-03 14:29:30 status half-installed libp11-kit0:arm64 0.23.22-1
2023-10-03 14:29:30 status unpacked libp11-kit0:arm64 0.23.22-1
2023-10-03 14:29:30 install libpam-modules:arm64 <none> 1.4.0-9+deb11u1
2023-10-03 14:29:30 status half-installed libpam-modules:arm64 1.4.0-9+deb11u1
2023-10-03 14:29:30 status unpacked libpam-modules:arm64 1.4.0-9+deb11u1
2023-10-03 14:29:30 install libpam-modules-bin:arm64 <none> 1.4.0-9+deb11u1
2023-10-03 14:29:30 status half-installed libpam-modules-bin:arm64 1.4.0-9+deb11u1
2023-10-03 14:29:30 status unpacked libpam-modules-bin:arm64 1.4.0-9+deb11u1
2023-10-03 14:29:30 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2023-10-03 14:29:30 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2023-10-03 14:29:30 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2023-10-03 14:29:30 install libpam0g:arm64 <none> 1.4.0-9+deb11u1
2023-10-03 14:29:30 status half-installed libpam0g:arm64 1.4.0-9+deb11u1
2023-10-03 14:29:30 status unpacked libpam0g:arm64 1.4.0-9+deb11u1
2023-10-03 14:29:30 install libpcre2-8-0:arm64 <none> 10.36-2+deb11u1
2023-10-03 14:29:30 status half-installed libpcre2-8-0:arm64 10.36-2+deb11u1
2023-10-03 14:29:30 status unpacked libpcre2-8-0:arm64 10.36-2+deb11u1
2023-10-03 14:29:30 install libpcre3:arm64 <none> 2:8.39-13
2023-10-03 14:29:30 status half-installed libpcre3:arm64 2:8.39-13
2023-10-03 14:29:30 status unpacked libpcre3:arm64 2:8.39-13
2023-10-03 14:29:30 upgrade perl-base:arm64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2023-10-03 14:29:30 status half-configured perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:30 status unpacked perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:30 status half-installed perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:30 status unpacked perl-base:arm64 5.32.1-4+deb11u2
2023-10-03 14:29:30 install sed:arm64 <none> 4.7-1
2023-10-03 14:29:30 status half-installed sed:arm64 4.7-1
2023-10-03 14:29:30 status unpacked sed:arm64 4.7-1
2023-10-03 14:29:30 install login:arm64 <none> 1:4.8.1-1
2023-10-03 14:29:30 status half-installed login:arm64 1:4.8.1-1
2023-10-03 14:29:30 status unpacked login:arm64 1:4.8.1-1
2023-10-03 14:29:30 install passwd:arm64 <none> 1:4.8.1-1
2023-10-03 14:29:30 status half-installed passwd:arm64 1:4.8.1-1
2023-10-03 14:29:30 status unpacked passwd:arm64 1:4.8.1-1
2023-10-03 14:29:30 install libsystemd0:arm64 <none> 247.3-7+deb11u2
2023-10-03 14:29:30 status half-installed libsystemd0:arm64 247.3-7+deb11u2
2023-10-03 14:29:30 status unpacked libsystemd0:arm64 247.3-7+deb11u2
2023-10-03 14:29:31 install libudev1:arm64 <none> 247.3-7+deb11u2
2023-10-03 14:29:31 status half-installed libudev1:arm64 247.3-7+deb11u2
2023-10-03 14:29:31 status unpacked libudev1:arm64 247.3-7+deb11u2
2023-10-03 14:29:31 install sysvinit-utils:arm64 <none> 2.96-7+deb11u1
2023-10-03 14:29:31 status half-installed sysvinit-utils:arm64 2.96-7+deb11u1
2023-10-03 14:29:31 status unpacked sysvinit-utils:arm64 2.96-7+deb11u1
2023-10-03 14:29:31 install tar:arm64 <none> 1.34+dfsg-1
2023-10-03 14:29:31 status half-installed tar:arm64 1.34+dfsg-1
2023-10-03 14:29:31 status unpacked tar:arm64 1.34+dfsg-1
2023-10-03 14:29:31 install tzdata:all <none> 2021a-1+deb11u10
2023-10-03 14:29:31 status half-installed tzdata:all 2021a-1+deb11u10
2023-10-03 14:29:31 status unpacked tzdata:all 2021a-1+deb11u10
2023-10-03 14:29:31 install bsdutils:arm64 <none> 1:2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed bsdutils:arm64 1:2.36.1-8+deb11u1
2023-10-03 14:29:31 status unpacked bsdutils:arm64 1:2.36.1-8+deb11u1
2023-10-03 14:29:31 install libblkid1:arm64 <none> 2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed libblkid1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 status unpacked libblkid1:arm64 2.36.1-8+deb11u1
2023-10-03 14:29:31 install libmount1:arm64 <none> 2.36.1-8+deb11u1
2023-10-03 14:29:31 status half-installed libmount1:arm64 2.36.1-8+deb11u1
