2023-09-22 12:58:35 status installed libtasn1-6:amd64 4.13-3
2023-09-22 12:58:35 configure debianutils:amd64 4.8.6.1 <none>
2023-09-22 12:58:35 status unpacked debianutils:amd64 4.8.6.1
2023-09-22 12:58:35 status half-configured debianutils:amd64 4.8.6.1
2023-09-22 12:58:35 status installed debianutils:amd64 4.8.6.1
2023-09-22 12:58:35 configure mawk:amd64 1.3.3-17+b3 <none>
2023-09-22 12:58:35 status unpacked mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:35 status half-configured mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:35 status installed mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:35 configure libdebconfclient0:amd64 0.249 <none>
2023-09-22 12:58:35 status unpacked libdebconfclient0:amd64 0.249
2023-09-22 12:58:35 status half-configured libdebconfclient0:amd64 0.249
2023-09-22 12:58:35 status installed libdebconfclient0:amd64 0.249
2023-09-22 12:58:35 configure base-files:amd64 10.3+deb10u13 <none>
